Link Produs,Pret (lei)
https://www.emag.ro/laptop-ultraportabil-asus-zenbook-ux433fa-cu-procesorintelr-coretm-i7-8565u-pana-la-4-6-ghz-14-full-hd-16gb-1tb-ssd-m-2-nvidia-geforce-mx150-2gb-free-dos-royal-blue-metal-ux433fn-new-a5311/pd/D1NB26BBM/,5199
https://www.emag.ro/laptop-gaming-asus-tuf-fx505du-cu-procesor-amd-ryzen-7-3750h-pana-la-4-0ghz-15-6-full-hd-antiglare-8gb-1tb-hdd-nvidiar-geforce-gtx-1660-ti-6gb-gddr6-free-dos-black-fx505du-bq017/pd/DX1V55BBM/,4199
https://www.emag.ro/laptop-ultraportabil-asus-zenbook-ux433fn-cu-procesor-intelr-coretm-i7-8565u-pana-la-3-9-ghz-14-full-hd-8gb-512gb-ssd-m-2-nvidia-geforce-mx150-2gb-endless-os-royal-blue-metal-ux433fn-new-a5306/pd/DCNB26BBM/,3999
https://www.emag.ro/laptop-gaming-asus-rog-new-zephyrus-gx501gi-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-144hz-3ms-g-sync-24gb-512gb-ssd-nvidia-geforce-gtx-1080-8gb-max-q-microsoft-win/pd/DRKGGSBBM/,11999
https://www.emag.ro/laptop-2-in-1-asus-vivobook-flip-14-tp412ua-cu-procesor-intelr-coretm-i3-8130u-pana-la-3-40-ghz-kaby-lake-14-full-hd-touch-4gb-256gb-ssd-intelr-uhd-graphics-620-microsoft-windows-10-grey-rsgemag356196/pd/D6M0LVBBM/#used-products,de la 2549
https://www.emag.ro/laptop-ultraportabil-asus-zenbook-13-ux333fa-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-60-ghz-whiskey-lake-13-3-full-hd-8gb-256gb-ssd-intel-uhd-graphics-620-endless-os-icicle-silver-metal-ux333fa-a/pd/DGBGFQBBM/,4099
https://www.emag.ro/laptop-lenovo-ideapad-330-15ikb-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-full-hd-8gb-512gb-ssd-intelr-uhd-graphics-620-free-dos-platinum-grey-81de029brm/pd/DG2D8CBBM/,2849
https://www.emag.ro/laptop-asus-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-full-hd-8gb-512gb-ssd-intel-uhd-graphics-620-endless-os-chocolate-black-x540ua-dm2080/pd/DNT40QBBM/,2399
https://www.emag.ro/laptop-gaming-asus-rog-strix-g-g731gt-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-50ghz-17-3-full-hd-antiglare-8gb-1tb-hdd-nvidiar-geforce-gtx-1650-4gb-gddr5-free-dos-black-g731gt-au017/pd/DF1V55BBM/,4799
https://www.emag.ro/laptop-gaming-msi-ge63-raider-rgb-8se-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-144hz-3ms-ips-16gb-1tb-256gb-ssd-nvidia-geforce-rtx-2060-6gb-free-dos-black-per-key-r/pd/DZHN4LBBM/,6999
https://www.emag.ro/laptop-lenovo-ideapad-s145-15iwl-cu-procesor-intelr-core-i3-8145u-pana-la-3-90-ghz-15-6-hd-4gb-128gb-ssd-m-2-intel-uhd-graphics-620-windows-10-home-s-grey-81mv00murm/pd/D9D3H5BBM/,1799
https://www.emag.ro/laptop-gaming-lenovo-legion-y540-15irh-cu-procesor-intelr-core-i5-9300h-pana-la-4-10-ghz-15-6-full-hd-144hz-8gb-512gb-ssd-m-2-nvidia-geforce-rtx-2060-6gb-free-dos-black-81sx0073rm/pd/DZD3H5BBM/,5199
